SensorType,Time (s),ToF_Sensor1 (mm),ToF_Sensor2 (mm)
ToF,0.0,306.0,335.0
ToF,0.052,307.0,340.0
ToF,0.149,308.0,345.0
ToF,0.252,308.0,350.0
ToF,0.354,307.0,356.0
ToF,0.454,310.0,378.0
ToF,0.553,310.0,435.0
ToF,0.653,312.0,587.0
ToF,0.752,313.0,703.0
ToF,0.851,313.0,741.0
ToF,0.953,311.0,766.0
ToF,1.051,310.0,760.0
ToF,1.148,310.0,747.0
ToF,1.254,309.0,718.0
ToF,1.349,312.0,683.0
ToF,1.451,311.0,657.0
ToF,1.551,313.0,646.0
ToF,1.654,310.0,641.0
ToF,1.749,314.0,642.0
ToF,1.854,318.0,652.0
ToF,1.954,324.0,656.0
ToF,2.054,330.0,652.0
ToF,2.151,331.0,653.0
ToF,2.251,333.0,660.0
ToF,2.355,331.0,665.0
ToF,2.453,336.0,663.0
ToF,2.552,352.0,663.0
ToF,2.65,384.0,652.0
ToF,2.749,452.0,672.0
ToF,2.851,392.0,671.0
ToF,2.951,367.0,665.0
ToF,3.051,342.0,657.0
ToF,3.154,338.0,655.0
ToF,3.253,341.0,673.0
ToF,3.352,344.0,716.0
ToF,3.453,346.0,769.0
ToF,3.551,348.0,782.0
ToF,3.651,352.0,730.0
ToF,3.752,347.0,702.0
ToF,3.852,345.0,662.0
ToF,3.955,336.0,653.0
ToF,4.053,331.0,688.0
ToF,4.152,326.0,672.0
ToF,4.254,326.0,685.0
ToF,4.355,315.0,692.0
ToF,4.454,314.0,693.0
ToF,4.55,314.0,695.0
ToF,4.654,313.0,690.0
ToF,4.755,313.0,703.0
ToF,4.851,310.0,705.0

SensorType,Time (s),AccX (g),AccY (g),AccZ (g),GyroX (бу/s),GyroY (бу/s),GyroZ (бу/s)
IMU,0.0,-0.019,-0.78,0.653,13.526,13.282,-7.374
IMU,0.009,0.003,-0.825,0.661,8.9,9.656,-3.167
IMU,0.017,0.03,-0.815,0.66,0.969,-4.549,0.213
IMU,0.02,0.005,-0.798,0.672,-1.679,-1.671,1.213
IMU,0.025,-0.007,-0.808,0.669,-3.282,-4.778,0.091
IMU,0.029,0.025,-0.785,0.666,-2.755,-1.923,-1.297
IMU,0.037,0.007,-0.814,0.665,-4.152,-0.687,1.839
IMU,0.043,-0.006,-0.811,0.67,-6.557,-4.801,1.137
IMU,0.047,0.012,-0.809,0.667,-9.793,3.015,0.236
IMU,0.052,0.001,-0.811,0.657,-10.068,1.038,-1.816
IMU,0.061,0.011,-0.805,0.65,-12.534,-2.404,-0.534
IMU,0.064,0.008,-0.81,0.645,-11.931,-9.122,-0.755
IMU,0.068,-0.008,-0.8,0.651,-11.809,-2.358,5.16
IMU,0.074,0.0,-0.801,0.65,-7.717,-0.374,-2.099
IMU,0.077,0.012,-0.813,0.644,-6.45,-0.503,-0.122
IMU,0.084,-0.003,-0.805,0.645,-2.374,2.091,0.251
IMU,0.088,0.002,-0.812,0.649,0.099,0.488,0.29
IMU,0.093,-0.001,-0.812,0.653,0.0,0.061,-1.19
IMU,0.096,0.0,-0.813,0.653,-1.305,1.832,-2.312
IMU,0.1,0.006,-0.807,0.652,1.984,-1.244,-2.145
IMU,0.106,0.004,-0.804,0.66,2.122,2.679,0.511
IMU,0.109,-0.003,-0.804,0.66,0.152,-0.969,1.32
IMU,0.116,-0.004,-0.806,0.658,3.343,-0.328,-0.358
IMU,0.121,0.01,-0.811,0.651,-1.77,-1.832,0.534
IMU,0.124,0.014,-0.804,0.649,-1.083,3.145,-0.564
IMU,0.128,-0.002,-0.803,0.668,-1.717,-4.045,2.297
IMU,0.136,0.003,-0.801,0.652,-2.954,5.801,-1.183
IMU,0.139,-0.0,-0.805,0.652,-3.419,-2.984,0.068
IMU,0.145,0.0,-0.812,0.659,-3.748,-0.656,2.854
IMU,0.149,0.011,-0.798,0.651,-5.572,-4.099,0.32
IMU,0.156,-0.0,-0.812,0.657,-3.541,6.58,-2.053
IMU,0.161,-0.006,-0.805,0.645,-3.946,-0.122,0.396
IMU,0.164,-0.0,-0.818,0.654,-3.114,-5.274,-0.511
IMU,0.173,0.007,-0.811,0.645,-3.076,2.938,-0.854
IMU,0.179,0.002,-0.8,0.639,-3.297,4.099,-1.167
IMU,0.183,-0.003,-0.812,0.638,-2.412,-5.366,0.763
IMU,0.188,-0.014,-0.805,0.646,-1.534,-0.198,-0.305
IMU,0.191,0.007,-0.814,0.648,0.076,2.77,-0.633
IMU,0.197,0.0,-0.813,0.65,-2.229,2.984,2.656
IMU,0.202,0.02,-0.803,0.649,0.045,0.885,-2.099
IMU,0.206,0.001,-0.812,0.652,-0.076,2.374,-0.137
IMU,0.212,0.01,-0.81,0.65,-0.442,4.007,-0.702
IMU,0.216,-0.002,-0.798,0.664,0.48,1.053,0.702
IMU,0.22,0.004,-0.817,0.658,-1.358,2.656,-0.015
IMU,0.224,0.0,-0.806,0.647,1.893,4.213,-1.374
IMU,0.227,-0.01,-0.809,0.648,2.656,1.106,2.091
IMU,0.233,-0.004,-0.796,0.65,3.534,7.427,-5.412
IMU,0.242,0.02,-0.808,0.651,1.122,2.244,-3.015
IMU,0.245,0.003,-0.818,0.653,-1.442,1.435,-2.175
IMU,0.252,0.004,-0.798,0.667,-0.839,5.114,-1.068
IMU,0.257,-0.015,-0.791,0.655,0.32,4.282,-0.954
IMU,0.261,0.001,-0.803,0.652,1.954,8.656,-5.152
IMU,0.264,-0.003,-0.802,0.659,-0.572,7.015,-2.923
IMU,0.27,0.022,-0.803,0.662,-2.099,6.572,1.236
IMU,0.274,-0.002,-0.811,0.665,-2.442,1.007,0.419
IMU,0.281,0.0,-0.799,0.655,-4.893,1.312,0.847
IMU,0.284,0.001,-0.804,0.669,-3.625,-2.633,-0.244
IMU,0.289,0.001,-0.8,0.66,-5.77,4.748,-0.328
IMU,0.293,0.007,-0.799,0.657,-4.832,-2.496,1.16
IMU,0.296,-0.003,-0.807,0.663,-5.549,-0.923,-1.511
IMU,0.302,-0.004,-0.802,0.642,-4.229,7.29,-4.221
IMU,0.307,0.003,-0.813,0.651,-5.183,2.61,-1.519
IMU,0.311,-0.004,-0.808,0.645,-3.641,9.175,-7.061
IMU,0.316,-0.029,-0.789,0.65,-2.793,-3.984,-0.847
IMU,0.32,-0.028,-0.812,0.657,-5.786,6.534,-2.893
IMU,0.327,-0.043,-0.822,0.653,-4.541,4.694,-4.618
IMU,0.334,-0.001,-0.818,0.661,-5.198,0.77,-7.068
IMU,0.338,-0.0,-0.817,0.664,-6.488,5.931,-3.725
IMU,0.346,0.027,-0.815,0.658,-13.961,9.755,-4.083
IMU,0.354,0.037,-0.823,0.651,-11.48,5.0,-3.931
IMU,0.358,0.036,-0.827,0.651,-14.335,7.022,-2.625
IMU,0.366,0.042,-0.807,0.64,-11.374,-4.923,0.694
IMU,0.369,-0.002,-0.814,0.647,-12.48,-0.58,0.885
IMU,0.377,-0.002,-0.818,0.643,-11.396,-3.618,-3.229
IMU,0.385,-0.006,-0.814,0.644,-7.122,1.801,-0.801
IMU,0.388,0.003,-0.817,0.648,-8.03,2.045,-0.16
IMU,0.396,0.001,-0.82,0.64,-7.007,-0.839,-1.022
IMU,0.404,0.005,-0.806,0.649,-6.32,3.282,-2.557
IMU,0.408,0.005,-0.826,0.638,-3.244,0.954,1.251
IMU,0.416,-0.0,-0.828,0.646,-5.916,2.87,-0.022
IMU,0.422,0.001,-0.823,0.651,-6.343,-2.145,-1.687
IMU,0.426,0.002,-0.814,0.645,-8.87,-1.961,-0.038
IMU,0.432,0.0,-0.824,0.64,-3.473,0.251,-1.412
IMU,0.436,0.006,-0.817,0.634,-1.786,-4.763,1.267
IMU,0.441,0.011,-0.808,0.629,-3.625,1.503,0.748
IMU,0.444,0.001,-0.807,0.645,-0.854,3.404,0.167
IMU,0.448,-0.001,-0.804,0.658,-0.366,1.305,-0.076
IMU,0.454,-0.004,-0.806,0.65,-0.801,7.809,-4.137
IMU,0.461,0.015,-0.83,0.636,2.664,0.977,-3.427
IMU,0.465,0.016,-0.821,0.633,4.938,4.763,-3.58
IMU,0.469,0.008,-0.808,0.652,4.519,0.412,-0.198
IMU,0.473,-0.003,-0.814,0.656,4.374,4.496,-1.778
IMU,0.477,-0.005,-0.812,0.642,2.068,5.801,-2.832
IMU,0.482,0.018,-0.816,0.636,5.74,8.694,-2.885
IMU,0.486,-0.008,-0.818,0.648,6.015,7.038,-1.48
IMU,0.493,0.019,-0.818,0.652,5.801,-0.198,0.786
IMU,0.498,0.0,-0.799,0.634,8.931,9.007,-1.816
IMU,0.502,0.02,-0.831,0.624,7.48,1.381,-0.45
IMU,0.505,-0.003,-0.813,0.643,5.954,-5.29,-1.099
IMU,0.509,-0.048,-0.841,0.616,6.74,-9.839,5.717
IMU,0.515,-0.042,-0.823,0.642,3.885,-13.511,8.923
IMU,0.521,-0.055,-0.791,0.65,14.954,10.732,-8.839
IMU,0.525,0.017,-0.833,0.661,22.961,27.145,-15.694
IMU,0.53,0.0,-0.805,0.645,25.167,26.015,-13.969
IMU,0.533,-0.01,-0.773,0.654,26.664,4.893,1.969
IMU,0.542,0.037,-0.766,0.661,26.824,10.503,-1.664
IMU,0.549,-0.022,-0.787,0.661,19.648,-3.488,-3.534
IMU,0.553,-0.014,-0.785,0.675,21.458,1.969,-4.755
IMU,0.558,-0.041,-0.806,0.693,18.549,5.343,-7.969
IMU,0.563,-0.067,-0.788,0.666,10.419,9.763,-8.763
IMU,0.567,-0.054,-0.827,0.644,10.923,7.091,0.778
IMU,0.572,-0.059,-0.868,0.686,13.183,12.16,0.786
IMU,0.577,-0.047,-0.828,0.663,11.335,15.854,-17.541
IMU,0.581,-0.077,-0.787,0.678,7.534,23.809,-20.61
IMU,0.586,-0.032,-0.874,0.713,1.022,21.503,-12.152
IMU,0.589,-0.008,-0.822,0.718,-12.213,12.312,-13.74
IMU,0.596,-0.056,-0.79,0.675,-4.679,22.763,-11.694
IMU,0.602,-0.012,-0.801,0.652,-14.625,19.297,-26.366
IMU,0.606,-0.033,-0.603,0.591,-26.755,13.717,-16.732
IMU,0.615,0.004,-0.875,0.749,-23.564,3.687,-7.32
IMU,0.622,0.019,-1.039,0.862,-22.755,8.274,-11.259
IMU,0.626,-0.101,-0.838,0.727,-27.526,20.328,-14.152
IMU,0.634,-0.071,-0.609,0.667,-31.503,12.778,-7.167
IMU,0.642,-0.03,-0.616,0.676,-33.374,16.625,-17.877
IMU,0.645,-0.07,-0.867,0.688,-17.526,13.77,-12.541
IMU,0.653,-0.009,-0.686,0.613,-33.206,3.572,9.03
IMU,0.661,-0.132,-0.3,0.37,-47.274,19.259,17.473
IMU,0.665,-0.02,-0.953,0.75,-41.694,13.442,-0.32
IMU,0.672,-0.069,-0.656,0.648,-74.992,27.015,-27.259
IMU,0.676,-0.064,-1.077,0.782,-52.32,-8.328,-15.671
IMU,0.684,-0.055,-0.814,0.683,-58.297,0.938,3.534
IMU,0.69,0.023,-0.921,0.658,-44.748,30.625,-5.274
IMU,0.694,-0.043,-0.48,0.357,-48.251,17.923,-14.519
IMU,0.702,0.099,-0.706,0.632,-49.29,20.022,-12.244
IMU,0.708,-0.033,-0.332,0.401,-36.58,26.534,-15.877
IMU,0.712,-0.066,-0.294,0.271,-38.335,29.412,-8.251
IMU,0.717,0.061,-0.818,0.578,-25.267,-11.564,-11.526
IMU,0.72,0.023,-0.809,0.481,-28.068,12.32,-19.206
IMU,0.726,-0.031,-0.913,0.52,-8.748,0.526,-16.725
IMU,0.733,0.0,-0.622,0.582,-25.519,30.633,-7.954
IMU,0.736,0.02,-0.647,0.575,-34.709,18.526,-1.961
IMU,0.745,-0.002,-1.015,0.806,-29.022,-13.618,10.167
IMU,0.752,0.015,-0.669,0.572,-16.511,5.381,14.458
IMU,0.757,0.409,-0.608,0.218,72.625,-66.335,55.045
IMU,0.761,0.733,-2.0,1.266,204.74,-52.412,85.702
IMU,0.764,-0.087,-1.423,1.036,250.129,6.183,83.076
IMU,0.773,0.005,-0.645,0.541,250.129,-2.671,35.083
IMU,0.78,-0.099,-0.68,0.779,205.061,-8.419,-37.671
IMU,0.784,-0.308,-1.05,0.78,121.648,-36.564,-74.145
IMU,0.789,-0.324,-1.003,0.781,128.656,-46.152,-59.022
IMU,0.792,0.0,-0.838,0.644,122.832,-11.847,-42.732
IMU,0.796,0.164,-0.765,0.757,194.16,40.954,-6.709
IMU,0.804,0.085,-0.763,0.596,196.32,-12.511,-6.763
IMU,0.809,-0.054,-0.718,0.659,196.152,40.312,-30.564
IMU,0.813,-0.146,-0.601,0.65,203.656,21.305,-39.633
IMU,0.82,-0.105,-0.666,0.797,209.458,24.45,-58.335
IMU,0.824,-0.028,-0.619,0.598,207.259,39.908,-36.755
IMU,0.828,-0.029,-0.714,0.776,216.58,68.076,-45.267
IMU,0.832,0.024,-0.687,0.778,219.106,31.969,-56.076
IMU,0.835,-0.022,-0.614,0.767,223.267,37.664,-51.229
IMU,0.841,-0.016,-0.62,0.787,213.725,43.755,-69.229
IMU,0.844,-0.022,-0.577,0.891,203.839,53.206,-74.648
IMU,0.851,0.072,-0.642,0.847,198.74,59.77,-71.954
IMU,0.856,-0.008,-0.54,0.911,207.801,39.9,-69.45
IMU,0.86,0.085,-0.639,0.917,198.0,49.809,-74.381
IMU,0.864,0.057,-0.48,0.996,187.511,42.824,-59.091
IMU,0.869,0.051,-0.507,1.023,153.801,24.664,-45.251
IMU,0.873,-0.011,-0.823,1.05,127.022,29.145,-36.648
IMU,0.878,-0.016,-0.459,1.049,81.687,22.496,-31.847
IMU,0.881,-0.02,-0.531,1.0,52.16,15.923,-27.16
IMU,0.888,0.004,-0.515,0.956,46.175,18.725,-19.145
IMU,0.892,0.012,-0.489,0.915,43.244,2.671,-7.244
IMU,0.896,-0.062,-0.457,0.939,48.335,2.03,-0.19
IMU,0.9,-0.12,-0.514,0.934,43.839,-1.77,8.396
IMU,0.905,-0.247,-0.47,0.921,33.916,-8.87,11.167
IMU,0.909,-0.465,-0.555,0.959,29.48,-20.839,20.389
IMU,0.916,-0.187,-0.669,1.024,-1.229,15.893,16.129
IMU,0.921,-0.279,-0.52,1.201,-30.549,10.282,23.534
IMU,0.925,-0.222,-0.513,0.904,-70.03,-19.839,-14.206
IMU,0.931,-0.048,-0.055,0.643,-108.725,1.664,33.954
IMU,0.934,0.645,-0.245,0.454,-90.236,40.404,87.328
IMU,0.941,0.538,-0.636,1.087,34.732,-63.099,98.244
IMU,0.945,0.399,-0.908,0.837,90.832,1.816,126.732
IMU,0.949,0.181,-0.371,0.837,87.343,-22.335,118.946
IMU,0.953,0.178,-0.791,0.749,33.389,-32.374,103.343
IMU,0.957,-0.386,-0.38,0.923,9.045,6.45,-16.526
IMU,0.963,0.032,-0.615,0.816,64.61,34.335,100.091
IMU,0.967,-0.278,-0.419,0.884,50.488,72.267,21.007
IMU,0.971,-0.459,-0.296,0.942,38.167,24.847,-31.358
IMU,0.977,-0.53,-0.471,1.081,38.48,72.763,-64.717
IMU,0.98,0.286,-0.736,1.16,8.496,19.938,105.694
IMU,0.988,0.56,0.079,0.367,69.549,-39.106,120.229
IMU,0.992,0.23,-0.762,1.084,116.519,6.648,161.755
IMU,0.996,0.004,-0.579,1.075,68.137,35.351,-108.473
IMU,1.005,0.142,-0.563,1.027,35.885,5.328,-7.977
IMU,1.011,0.032,-0.578,1.301,17.603,4.412,34.885
IMU,1.015,-0.163,-0.321,0.582,21.885,0.916,-38.755
IMU,1.02,-0.411,-0.253,1.039,-17.717,-6.763,-84.427
IMU,1.023,-0.55,-0.166,1.19,-65.572,-8.885,-122.099
IMU,1.027,-0.7,-0.343,1.385,-170.076,-44.656,-188.687
IMU,1.033,0.462,-0.853,0.414,-239.984,-61.114,52.145
IMU,1.036,0.57,-1.282,1.062,61.633,-117.236,250.129
IMU,1.043,0.443,0.193,0.102,250.129,59.48,250.129
IMU,1.048,0.087,0.168,0.117,219.839,167.053,95.549
IMU,1.051,-0.129,-0.016,0.449,178.213,118.068,101.832
IMU,1.056,0.013,-0.575,0.9,87.198,40.656,-16.763
IMU,1.063,-0.169,-0.31,0.832,3.778,-9.87,-13.198
IMU,1.067,-0.19,-0.184,0.859,-41.053,-96.435,-27.374
IMU,1.073,-0.456,-0.086,0.982,-94.961,-68.969,-109.534
IMU,1.076,-0.498,-0.207,1.063,-65.992,-99.244,-216.633
IMU,1.083,-0.455,-0.432,1.117,-38.328,37.954,-179.839
IMU,1.088,-0.541,-0.529,1.089,-48.786,64.801,-162.251
IMU,1.092,-0.5,-0.363,1.045,-100.847,-55.984,-101.763
IMU,1.096,-0.225,-0.418,0.87,-125.816,48.358,-46.236
IMU,1.101,-0.027,0.071,0.112,-123.786,37.763,1.954
IMU,1.105,0.109,-0.748,0.929,-33.954,-54.297,78.816
IMU,1.11,0.326,-0.216,0.946,57.862,121.152,-13.801
IMU,1.113,0.146,-1.246,1.57,45.77,60.015,-38.633
IMU,1.119,0.252,-0.543,0.985,-3.732,-74.053,31.404
IMU,1.126,0.355,-0.14,0.554,-116.893,-50.427,2.801
IMU,1.129,0.259,-0.65,1.057,-115.946,-24.641,-22.58
IMU,1.137,0.24,-0.464,0.912,-189.77,-0.083,5.992
IMU,1.145,0.447,-1.543,1.999,-126.671,-61.229,0.87
IMU,1.148,0.021,-0.632,0.733,-59.74,59.366,58.305
IMU,1.157,0.052,-0.474,0.895,-116.923,-34.824,38.488
IMU,1.16,-0.119,0.093,0.367,-171.809,-0.893,29.519
IMU,1.168,-0.032,-0.601,0.862,-142.9,-21.862,24.396
IMU,1.176,-0.142,-0.779,1.031,-111.183,-55.274,32.587
IMU,1.179,-0.143,-0.625,0.904,-105.358,-15.183,29.511
IMU,1.187,-0.13,-0.427,0.771,-116.519,-26.358,2.641
IMU,1.193,-0.218,-0.628,1.089,-151.618,-14.305,9.435
IMU,1.197,-0.098,-0.727,1.053,-160.343,-32.931,32.633
IMU,1.203,0.1,-1.052,1.297,-191.083,16.038,22.488
IMU,1.207,-0.111,0.128,0.27,-197.473,-42.305,18.61
IMU,1.212,0.101,-0.825,0.85,-166.58,-6.328,23.763
IMU,1.215,0.079,-0.648,0.571,-128.328,-14.213,27.045
IMU,1.219,0.135,-0.803,1.042,-146.961,-8.992,16.503
IMU,1.225,0.078,-0.696,0.862,-123.717,-26.297,13.221
IMU,1.228,-0.015,-0.098,0.628,-130.801,-36.106,18.396
IMU,1.235,0.136,-0.574,0.561,-73.755,-31.763,37.175
IMU,1.24,0.104,-0.325,0.485,-60.312,-42.229,23.664
IMU,1.243,0.136,-0.53,0.583,-35.671,-19.297,49.259
IMU,1.25,0.105,-0.389,0.394,9.816,-29.427,41.603
IMU,1.254,0.006,-0.105,0.327,10.152,-45.435,28.755
IMU,1.259,0.046,-0.824,0.653,38.526,-40.801,7.435
IMU,1.262,0.026,-1.051,1.049,43.839,-22.969,27.458
IMU,1.266,0.074,-0.585,0.568,40.778,-34.748,22.16
IMU,1.272,-0.002,-0.713,0.72,37.251,-12.122,9.015
IMU,1.278,-0.006,-0.471,0.524,46.167,-20.641,21.366
IMU,1.283,-0.075,0.064,0.282,24.801,-41.755,22.351
IMU,1.287,0.016,-0.558,0.665,38.45,-3.633,20.633
IMU,1.29,-0.016,-0.758,0.757,35.549,-12.595,10.503
IMU,1.294,-0.022,-0.928,0.941,35.954,-0.763,-3.167
IMU,1.3,-0.047,-0.737,0.733,26.847,4.549,-3.77
IMU,1.303,0.016,-0.672,0.729,28.106,-7.038,16.435
IMU,1.31,-0.03,-0.685,0.74,42.702,-3.343,5.671
IMU,1.313,-0.045,-0.655,0.786,47.122,10.007,-3.0
IMU,1.317,-0.009,-0.667,0.767,52.267,12.48,-10.465
IMU,1.322,-0.065,-0.588,0.793,46.954,12.534,-13.557
IMU,1.325,-0.105,-0.643,0.765,48.893,0.29,-4.267
IMU,1.329,0.015,-0.644,0.774,40.183,0.061,-5.969
IMU,1.335,-0.01,-0.625,0.789,42.335,12.389,-7.442
IMU,1.338,0.034,-0.704,0.861,39.633,19.274,-15.244
IMU,1.345,-0.015,-0.611,0.84,30.389,14.473,-19.954
IMU,1.349,0.025,-0.588,0.84,30.007,12.717,-6.099
IMU,1.356,-0.012,-0.593,0.851,20.595,-9.16,3.877
IMU,1.364,-0.011,-0.579,0.842,9.946,-9.152,7.061
IMU,1.368,0.149,-0.809,0.94,10.076,-4.152,6.458
IMU,1.375,0.037,-0.63,0.878,-13.954,-6.137,14.633
IMU,1.383,-0.109,-0.559,0.837,-15.297,-4.633,25.183
IMU,1.387,0.049,-0.658,0.81,-8.396,-8.358,11.702
IMU,1.395,-0.065,-0.615,0.768,-15.977,-4.977,12.229
IMU,1.398,-0.049,-0.609,0.775,7.587,-1.114,18.572
IMU,1.404,0.006,-0.908,1.044,18.19,-2.625,11.465
IMU,1.411,-0.173,-0.515,0.597,33.862,-4.473,15.473
IMU,1.414,-0.106,-0.351,0.522,33.213,-2.969,17.213
IMU,1.419,-0.093,-0.505,0.626,47.946,4.687,33.076
IMU,1.422,-0.116,-0.362,0.598,70.893,-19.083,3.595
IMU,1.426,-0.088,-0.298,0.665,62.129,8.221,-10.526
IMU,1.432,-0.031,-0.99,0.958,82.541,36.206,-25.007
IMU,1.435,-0.067,-0.829,0.847,49.251,-12.824,-11.297
IMU,1.442,-0.057,-0.188,0.553,43.175,34.045,12.793
IMU,1.447,0.02,-0.638,0.967,39.0,-8.244,0.541
IMU,1.451,0.011,-0.734,1.099,22.068,-27.961,7.503
IMU,1.457,0.145,-0.772,0.952,-14.282,-12.87,26.694
IMU,1.461,-0.062,0.074,0.287,-55.893,-29.015,42.511
IMU,1.47,-0.096,-0.617,0.993,-16.312,-38.648,44.954
IMU,1.474,-0.077,-0.037,0.355,-35.641,-36.442,59.77
IMU,1.48,-0.195,-0.798,0.986,-1.32,-23.106,22.061
IMU,1.484,-0.127,-0.464,0.648,6.267,-32.709,19.908
IMU,1.489,-0.079,-0.657,0.858,14.48,-24.19,30.312
IMU,1.492,-0.074,-1.017,1.241,47.702,-20.961,34.465
IMU,1.496,-0.146,-0.576,0.757,42.77,-6.343,23.29
IMU,1.502,0.029,-0.748,0.981,70.137,-22.137,11.145
IMU,1.505,-0.085,-0.135,0.518,47.854,2.923,5.374
IMU,1.512,0.057,-0.427,0.75,47.625,-25.221,14.511
IMU,1.516,0.004,-0.641,0.861,57.198,-19.74,3.19
IMU,1.521,0.073,-0.643,0.925,48.183,-5.343,9.671
IMU,1.529,0.136,-0.511,0.776,26.656,-3.152,28.488
IMU,1.533,0.042,-0.449,0.821,29.175,-10.549,42.473
IMU,1.541,0.148,-0.766,1.087,14.0,-11.068,39.702
IMU,1.547,0.011,-0.583,0.687,24.694,-21.923,57.259
IMU,1.551,-0.012,-0.791,1.02,14.603,-46.015,63.564
IMU,1.556,-0.017,-0.634,0.839,5.74,-44.297,62.801
IMU,1.565,-0.083,-0.646,0.87,39.687,-33.106,40.61
IMU,1.568,-0.164,-0.65,0.911,34.786,-11.923,27.274
IMU,1.572,-0.068,-0.264,0.646,51.19,-13.694,47.801
IMU,1.578,-0.089,-0.76,0.967,65.755,-18.083,61.541
IMU,1.582,-0.185,-1.03,1.214,99.687,-53.0,35.412
IMU,1.589,0.024,-1.834,1.837,171.832,-23.183,10.435
IMU,1.594,-0.148,-0.688,0.969,136.625,-44.854,5.114
IMU,1.598,-0.014,-1.019,1.604,87.251,-13.74,28.648
IMU,1.604,0.162,-0.685,1.049,61.419,25.412,41.343
IMU,1.607,0.085,-0.423,1.025,44.496,-12.213,21.572
IMU,1.614,0.195,-0.84,1.133,29.801,-23.916,62.603
IMU,1.619,0.076,-0.457,0.738,17.549,-47.763,69.328
IMU,1.623,0.076,-0.553,0.911,-6.335,-8.77,58.229
IMU,1.629,0.105,-0.917,1.022,12.641,-22.114,57.694
IMU,1.632,0.072,-0.313,0.652,-18.274,-34.45,70.145
IMU,1.639,0.117,-0.828,1.153,-31.793,-45.671,82.809
IMU,1.644,-0.132,-0.376,0.624,3.625,-34.977,64.48
IMU,1.648,0.035,-0.565,0.718,13.251,2.083,83.061
IMU,1.654,0.11,-1.094,1.308,39.732,-31.648,76.992
IMU,1.658,-0.065,-0.278,0.719,54.824,-22.664,37.679
IMU,1.663,-0.091,-0.809,1.072,67.801,-34.839,56.106
IMU,1.666,-0.025,-0.832,1.138,58.122,-46.671,67.648
IMU,1.67,-0.113,-0.853,1.197,86.206,-23.396,77.893
IMU,1.676,0.039,-0.414,0.894,84.442,-10.618,56.526
IMU,1.683,0.022,0.276,0.139,61.862,-30.786,13.198
IMU,1.687,0.095,-0.09,0.699,81.007,-2.969,-2.946
IMU,1.691,0.105,-0.918,1.622,71.083,6.625,17.213
IMU,1.695,0.074,-0.739,1.062,48.351,-21.213,10.076
IMU,1.699,0.1,-0.277,0.964,54.87,46.809,27.099
IMU,1.704,0.083,-0.429,0.988,21.847,-19.099,11.122
IMU,1.708,0.044,-0.546,1.112,12.679,4.213,23.809
IMU,1.715,0.017,-0.459,0.885,8.03,-8.206,11.229
IMU,1.72,-0.026,-0.341,0.914,-2.442,-15.32,33.16
IMU,1.724,-0.036,-0.521,1.088,6.458,-8.305,35.87
IMU,1.73,-0.035,-0.508,1.316,12.816,-6.099,39.152
IMU,1.733,-0.0,-0.314,1.067,-26.671,6.931,28.259
IMU,1.74,-0.139,0.065,0.565,7.137,31.175,34.954
IMU,1.745,-0.037,0.016,0.521,-2.923,-7.923,22.45
IMU,1.749,-0.116,-0.337,0.946,59.717,17.526,10.938
IMU,1.755,-0.043,-0.85,1.044,52.053,0.198,-0.778
IMU,1.759,-0.126,0.078,0.352,15.404,-25.625,23.717
IMU,1.766,0.023,-0.714,1.182,79.755,20.366,50.038
IMU,1.775,-0.017,-1.116,1.666,120.259,-24.641,8.984
IMU,1.783,0.034,-0.295,0.482,40.442,12.969,34.809
IMU,1.786,0.072,-0.111,0.757,20.9,6.274,12.236
IMU,1.794,0.061,-0.472,0.901,9.9,-30.587,15.648
IMU,1.798,-0.05,-0.788,1.865,4.694,-49.572,37.847
IMU,1.806,0.018,-0.676,1.514,6.328,-23.954,55.396
IMU,1.813,0.01,-0.353,0.884,38.19,9.404,39.862
IMU,1.817,-0.03,-0.667,1.346,-24.977,-44.824,57.358
IMU,1.825,0.082,-0.197,1.16,32.335,-10.946,71.839
IMU,1.833,0.05,0.211,0.153,1.244,2.458,21.778
IMU,1.836,0.009,0.448,-0.13,0.832,19.946,43.671
IMU,1.842,0.083,0.206,0.379,-19.229,-36.427,70.709
IMU,1.846,0.119,0.43,0.064,8.748,-1.916,71.145
IMU,1.854,0.021,-0.064,0.625,14.244,-30.893,44.748
IMU,1.861,0.09,-0.726,1.2,63.053,-48.015,40.091
IMU,1.865,-0.014,-0.565,1.338,73.854,-35.664,46.343
IMU,1.869,0.045,-0.423,1.137,15.526,-42.786,71.45
IMU,1.876,0.108,0.322,-0.026,74.122,21.496,68.679
IMU,1.88,-0.019,-1.247,1.679,121.732,-77.526,80.213
IMU,1.884,-0.065,-1.302,1.506,174.038,-83.839,67.465
IMU,1.888,0.009,-0.232,0.921,79.419,-20.236,97.938
IMU,1.892,-0.088,-0.925,1.466,71.984,-44.839,35.198
IMU,1.897,0.044,-0.306,0.901,37.083,-60.458,68.458
IMU,1.901,0.129,-0.741,1.37,52.244,-5.511,52.564
IMU,1.908,-0.063,-0.111,0.605,56.992,-47.511,109.725
IMU,1.911,0.101,0.178,0.198,84.816,-27.824,109.503
IMU,1.916,0.115,-0.074,0.47,96.267,1.351,49.175
IMU,1.923,0.069,-0.409,1.014,44.854,-4.427,57.48
IMU,1.926,0.114,-0.172,0.774,46.656,-21.893,38.038
IMU,1.931,-0.084,-0.844,1.493,21.534,-51.984,80.343
